Unnamed: 0,Location,Population,% of world,Date,Source (official or from the United Nations),Notes
–,World,8119000000,100%,1 Jul 2024,UN projection[1][3],
[b],China,1409670000,,31 Dec 2023,Official estimate[5],[c]
[b],India,1404910000,,1 Jul 2024,Official projection[6],[d]
3,United States,340110988,,1 Jul 2024,Official estimate[7],[e]
4,Indonesia,282477584,,30 Jun 2024,National annual projection[8],
5,Pakistan,241499431,,1 Mar 2023,2023 census result[9],[f]
6,Nigeria,223800000,,1 Jul 2023,Official projection[10],
7,Brazil,203080756,,1 Aug 2022,2022 census result[11],
8,Bangladesh,169828911,,14 Jun 2022,2022 census result[12],
9,Russia,146150789,,1 Jan 2024,Official estimate[13],[g]
10,Mexico,130154247,,30 Sep 2024,National quarterly estimate[14],
11,Japan,123740000,,1 Dec 2024,Monthly national estimate[15],
12,Philippines,114163719,,1 Jul 2024,Official projection[16],
13,Ethiopia,109499000,,1 Jul 2024,National annual projection[17],
14,Democratic Republic of the Congo,109276000,,1 Jul 2024,UN estimate[18],
15,Egypt,105914499,,1 Jan 2024,Official estimate[19],
16,Vietnam,100309210,,1 Jul 2023,Official estimate[20],
17,Iran,85961000,,20 Mar 2024,Official estimate[21],
18,Turkey,85372377,,31 Dec 2023,Official estimate[22],
19,Germany,84746132,,30 Sep 2024,National quarterly estimate[23],
20,France,68551000,,1 Nov 2024,Monthly national estimate[24],[h]
21,United Kingdom,68265209,,1 Jul 2023,Official estimate[25],[i]
22,Thailand,65969270,,1 Sep 2024,Monthly national estimate[26],
23,South Africa,63015904,,30 Jul 2024,Official estimate[27],
24,Tanzania,61741120,,23 Aug 2022,2022 census result[28],[j]
25,Italy,58958131,,31 Oct 2024,Monthly national estimate[29],
26,Myanmar,56712559,,1 Jul 2024,National annual projection[30],
27,Colombia,52695952,,1 Jan 2024,Official projection[31],
28,Kenya,52428290,,1 Jan 2024,Official projection[32],
29,South Korea,51248233,,30 Sep 2024,Monthly national estimate[33],
30,Sudan,50448963,,1 Jul 2024,UN projection[34],
31,Spain,48946035,,1 Oct 2024,National quarterly estimate[35],
32,Argentina,47067441,,1 Jul 2024,National annual projection[36],
33,Algeria,46700000,,1 Jan 2024,National annual projection[37],
34,Uganda,45935046,,10 May 2024,2024 census result[38],
35,Iraq,44414800,,1 Jul 2024,Official estimate[39],
36,Canada,41465298,,1 Oct 2024,National quarterly estimate[40],
37,Poland,37519000,,31 Oct 2024,Monthly national estimate[41],
38,Uzbekistan,37355356,,1 Oct 2024,National quarterly estimate[42],
39,Morocco,36828330,,1 Sep 2024,2024 census result[43],[k]
40,Afghanistan,35695527,,1 Jul 2024,Official estimate[44],
41,Angola,35121734,,1 Jun 2024,National annual projection[45],
42,Malaysia,34112400,,30 Sep 2024,National quarterly estimate[46],
43,Peru,34038457,,1 Jul 2024,National annual projection[47],
44,Ukraine,33443000,,1 Jan 2024,IMF estimate[48],[l]
45,Mozambique,33244414,,1 Jul 2024,National annual projection[49],
46,Ghana,33007618,,1 Jul 2024,National annual projection[50],
47,Yemen,32305264,,1 Jul 2022,Official estimate[51],
48,Saudi Arabia,32175224,,10 May 2022,2022 census result[52],
49,Madagascar,30811969,,1 Jul 2024,National annual projection[53],
50,Ivory Coast,29389150,,14 Dec 2021,2021 census result[54],
51,Nepal,29164578,,25 Nov 2021,2021 census result[55],
52,Cameroon,28758503,,1 Jul 2024,National annual projection[56],
53,Venezuela,28405543,,1 Jul 2024,UN projection[57],
54,Australia,27204800,,30 Jun 2024,Official projection[58],[m]
55,Niger,26312034,,1 Jul 2024,National annual projection[59],
56,North Korea,25950000,,1 Jul 2021,National annual projection[60],
57,Syria,24672760,,1 Jul 2024,UN projection[61],
58,Burkina Faso,23409015,,1 Jul 2024,National projection[62],
,Taiwan,23402795,,30 Nov 2024,Official estimate[63],[n]
59,Mali,22395489,,15 Jun 2022,2022 census result[64],
60,Sri Lanka,21916000,,1 Jul 2024,Official estimate[65],
61,Malawi,20270568,,1 Jul 2024,National annual projection[66],
62,Kazakhstan,20243981,,1 Nov 2024,Official estimate[67],
63,Chile,20086377,,30 Jun 2024,National annual projection[68],
64,Zambia,19610769,,14 Sep 2022,2022 census result[69],
65,Romania,19064409,,1 Jan 2024,Official estimate[70],
66,Somalia,19009151,,1 Jul 2024,UN projection[71],[o]
67,Chad,18675547,,1 Jul 2024,National annual projection[72],
68,Senegal,18126390,,15 May 2023,2023 census result[73],
69,Netherlands,18045683,,30 Nov 2024,Official estimate[74],[p]
70,Guatemala,17843132,,1 Jul 2024,National annual projection[75],
71,Cambodia,17336307,,1 Jul 2024,Official projection[76],
72,Ecuador,16938986,,1 Oct 2022,2022 census result[77],
73,Zimbabwe,16751469,,1 Jul 2024,Official projection[78],
74,South Sudan,15254268,,1 Jul 2023,National annual projection[79],
75,Rwanda,13798561,,1 Jul 2024,National annual projection[80],
76,Guinea,13261638,,1 Jul 2022,National annual projection[81],
77,Benin,12910087,,1 Jul 2024,National annual projection[82],
78,Burundi,12837740,,1 Jul 2022,National annual projection[83],
79,Haiti,12394537,,1 Jul 2024,National annual projection[84],
80,Tunisia,11887412,,1 Jan 2024,National estimate[85],
81,Belgium,11872024,,1 Nov 2024,Official estimate[86],
82,Papua New Guinea,11781559,,1 Jul 2021,National estimate[87],
83,Jordan,11516000,,31 Dec 2023,National estimate[88],
84,Bolivia,11312620,,23 Mar 2024,2024 census result[89],
85,Cuba,11089511,,31 Dec 2022,Official estimate[90],
86,Czech Republic,10897237,,30 Sep 2024,Official estimate[91],
87,Dominican Republic,10771504,,10 Nov 2022,2022 census result[92],
88,United Arab Emirates,10678556,,31 Dec 2023,Official estimate[93],
89,Portugal,10639726,,31 Dec 2023,2023 estimate[94],
90,Sweden,10587276,,31 Oct 2024,Monthly national estimate[95],
91,Greece,10413982,,1 Jan 2023,Official estimate[96],
92,Tajikistan,10277100,,1 Jan 2024,Official estimate[97],
93,Azerbaijan,10214441,,1 Oct 2024,Monthly national estimate[98],
94,Israel,10003000,,31 Oct 2024,National monthly estimate[99],[q]
95,Honduras,9892632,,1 Jul 2024,National annual projection[100],
96,Hungary,9584627,,1 Jan 2024,Official estimate[101],
97,Austria,9198124,,1 Oct 2024,National quarterly estimate[102],
98,Belarus,9155978,,1 Jan 2024,Official estimate[103],
99,Switzerland,9027859,,30 Sep 2024,National quarterly estimate[104],
100,Sierra Leone,8884032,,1 Jul 2024,National annual projection[105],
101,Togo,8095498,,8 Nov 2022,2022 census result[106],
102,Laos,7546000,,1 Jul 2023,National annual projection[107],
,Hong Kong (China),7531800,,30 Jun 2024,National estimate[108],
103,Libya,7381023,,1 Jul 2024,UN projection[109],
104,Kyrgyzstan,7161900,,1 Jan 2024,Monthly national estimate[110],
105,Turkmenistan,7057841,,17 Dec 2022,2022 census result[111],
106,Nicaragua,6803886,,30 Jun 2023,Official estimate[112],
107,Serbia,6605168,,1 Jan 2024,Official estimate[113],[r]
108,Central African Republic,6470307,,1 Jul 2024,National annual projection[114],
109,Bulgaria,6445481,,31 Dec 2023,Official annual estimate[115],
110,El Salvador,6351000,,30 Jun 2024,National annual projection[116],
111,Republic of the Congo,6142180,,17 May 2023,2023 census result[117],
112,Paraguay,6109644,,10 Nov 2022,Preliminary census result[118],
113,Singapore,6036900,,30 Jun 2024,Official estimate[119],
114,Denmark,5989985,,1 Oct 2024,National quarterly estimate[120],[s]
115,Finland,5636521,,30 Nov 2024,Monthly national estimate[121],[t]
116,Norway,5585044,,30 Sep 2024,National quarterly estimate[122],[u]
117,Lebanon,5490000,,1 Jul 2021,Official estimate[123],
118,Palestine,5483450,,1 Jan 2023,National annual projection[124],[v]
119,Slovakia,5421272,,30 Sep 2024,National quarterly estimate[125],
120,Ireland,5380300,,1 Apr 2024,National estimate[126],
121,New Zealand,5348600,,30 Sep 2024,National quarterly estimate[127],[w]
122,Costa Rica,5309625,,30 Jun 2024,National annual projection[128],
125,Oman,5259612,,30 Nov 2024,Monthly national estimate[129],
124,Liberia,5248621,,10 Nov 2022,2022 census result[130],
125,Mauritania,4927532,,25 Dec 2023,2023 census result[131],
126,Kuwait,4913271,,1 Jan 2024,Official estimate[132],
127,Panama,4064780,,8 Jan 2023,2023 census result[133],
128,Croatia,3859686,,1 Jul 2023,Official estimate[134],
129,Georgia,3694600,,1 Jan 2024,Official estimate[135],[x]
130,Eritrea,3535603,,1 Jul 2024,UN projection[136],
131,Mongolia,3504741,,31 Dec 2023,National annual projection[137],
132,Uruguay,3444263,,27 Nov 2023,2023 National census[138],
133,Bosnia and Herzegovina,3264873,,1 Jul 2023,Official estimate[139][140],
,Puerto Rico (US),3203295,,1 Jul 2024,Annual projection[141],
134,Armenia,3067400,,1 Jan 2024,National quarterly estimate[142],
135,Namibia,3022401,,24 Sep 2023,2023 National census[143],
136,Lithuania,2897443,,1 Dec 2024,Monthly national estimate[144],
137,Qatar,2857822,,30 Jun 2024,Monthly national estimate[145],
138,Jamaica,2825544,,1 Jul 2019,National projection[146],
139,Moldova,2423300,,1 Jan 2024,Official estimate[147],[y]
140,Gambia,2417471,,1 Jul 2022,National projection[148],
141,Botswana,2410338,,1 Jul 2021,National annual projection[149],
142,Gabon,2408586,,1 Jul 2024,National annual projection[150],
143,Albania,2402113,,18 Sep 2023,2023 national census[151],
144,Lesotho,2306000,,1 Jul 2023,Official projection[152],
145,Slovenia,2126324,,1 Jul 2024,National quarterly estimate[153],
